algo,dv,dc,nv,nc,code_id,p_phys,p_mask,no_test,no_success,no_stop,p_log,p_error,p_std_dev
330,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3634,3565,69.0,0.981012658227848,0.018987341772152,0.0022640026351387283
340,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3628,3564,64.0,0.9823594266813672,0.01764057331863278,0.002185535761156019
350,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3627,3576,51.0,0.9859387923904052,0.014061207609594839,0.0019550708917931295
360,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3627,3543,84.0,0.976840363937138,0.023159636062861977,0.002497490735220273
370,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3624,3542,82.0,0.9773730684326712,0.022626931567328756,0.002470295578875794
380,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2706,2651,55.0,0.9796747967479674,0.020325203252032575,0.002712654732954473
390,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2704,2656,48.0,0.9822485207100592,0.017751479289940808,0.0025393620396474037
400,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2701,2645,56.0,0.9792669381710476,0.020733061828952404,0.0027417002737391925
410,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2699,2646,53.0,0.9803630974434976,0.01963690255650241,0.0026707210404797194
420,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2699,2629,70.0,0.9740644683216004,0.02593553167839957,0.0030594262330531845
430,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2694,2629,65.0,0.9758723088344468,0.024127691165553244,0.002956348201105798
440,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2692,2628,64.0,0.976225854383358,0.02377414561664204,0.0029362300844419276
450,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2690,2619,71.0,0.9736059479553903,0.02639405204460965,0.0030907829196235156
460,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3500,3395,105.0,0.97,0.030000000000000027,0.002883450314169766
470,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3496,3399,97.0,0.972254004576659,0.027745995423340997,0.002777821362527393
480,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3496,3405,91.0,0.9739702517162472,0.026029748283752818,0.002692911731746204
490,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3491,3384,107.0,0.9693497565167574,0.030650243483242634,0.0029173080661476685
500,5,6,84,70,swap3_f8b7dcce,0.001,0.2,3486,3386,100.0,0.9713138267355136,0.028686173264486414,0.0028271731180343875
510,5,6,84,70,swap3_f8b7dcce,0.001,0.2,1429,1380,49.0,0.9657102869139258,0.0342897130860742,0.004813813272689017
610,5,6,84,70,swap3_f8b7dcce,0.001,0.2,1429,1363,66.0,0.9538138558432472,0.04618614415675282,0.0055522824693177665
710,5,6,84,70,swap3_f8b7dcce,0.001,0.2,1427,1378,49.0,0.9656622284512963,0.034337771548703655,0.004820440083903506
810,5,6,84,70,swap3_f8b7dcce,0.001,0.2,1425,1352,73.0,0.9487719298245614,0.05122807017543862,0.005840196764381659
910,5,6,84,70,swap3_f8b7dcce,0.001,0.2,1423,1347,76.0,0.9465917076598735,0.05340829234012645,0.005960507569957744
1000,5,6,84,70,swap3_f8b7dcce,0.001,0.2,5785,5412,373.0,0.93552290406223,0.06447709593776996,0.0032290759864698326
2000,5,6,84,70,swap3_f8b7dcce,0.001,0.2,2810,2448,362.0,0.8711743772241993,0.12882562277580067,0.006319758928581339
0,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7317,7317,0.0,1.0,0.0,0.0
